rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
21,94.0,94.0,FO Leo,LB,169.35471,22.82786,8.330,8.810,False,0.480,,Jersey City,Jersey City,72.0,210,2026-05-04,2026-05-04T21:30:00-04:00,68.3,ok,0,,,,,,,ok,3992024530851077248,2.121,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17209,"max altitude 72.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.48 mag; bright enough for Jersey City (8.33); no catalog period listed; well away from Galactic plane (b=68.3 deg); sparse AAVSO coverage (0 recent observations)"
22,93.7,93.7,GU Dra,LB:,267.33682,53.01508,10.130,10.350,False,0.220,,Jersey City,Jersey City,61.7,120,2026-05-17,2026-05-18T00:30:00-04:00,30.5,ok,0,,,,,,,ok,1368924244672469376,2.345,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13875,"max altitude 61.7 deg from Jersey City; usable nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.22 mag; bright enough for Jersey City (10.13); no catalog period listed; well away from Galactic plane (b=30.5 deg); sparse AAVSO coverage (0 recent observations)"
23,93.0,93.0,AD CrB,SRB:,241.78609,32.37958,8.730,9.110,False,0.380,,Jersey City,Jersey City,77.0,180,2026-05-17,2026-05-18T00:30:00-04:00,47.6,ok,21,,,ok,V* AD CrB,LP*,0.044,ok,1322354154800172160,3.591,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=10657,"max altitude 77.0 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (SRB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.38 mag; bright enough for Jersey City (8.73); no catalog period listed; well away from Galactic plane (b=47.6 deg); AAVSO has 21 recent observations; Gaia ipd_frac_multi_peak=3.00 suggests blended/contaminated PSF"
24,92.8,92.8,FP Cam,LB:,173.21846,79.91661,8.173,0.123,True,0.123,43.52760000,Jersey City,Jersey City,50.8,210,2026-05-06,2026-05-06T21:30:00-04:00,36.6,ok,0,,,,,,,ok,1130186391579584256,2.352,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4712,"max altitude 50.8 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.12 mag; bright enough for Jersey City (8.17); long-period cadence friendly (43.53 d); well away from Galactic plane (b=36.6 deg); sparse AAVSO coverage (0 recent observations)"
25,92.0,92.0,VV Boo,SR,212.40321,38.67608,13.100,13.700,False,0.600,60.30000000,Jersey City,Jersey City,88.0,210,2026-05-15,2026-05-15T23:30:00-04:00,70.0,ok,0,,,ok,V* VV Boo,LP*,0.800,ok,1485296383557297792,2.834,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4343,"max altitude 88.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.60 mag; bright enough for Jersey City (13.10); long-period cadence friendly (60.30 d); well away from Galactic plane (b=70.0 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=1.00 suggests blended/contaminated PSF"
26,92.0,92.0,RW CVn,SRB,209.88947,37.19731,8.270,8.790,False,0.520,100.00000000,Jersey City,Jersey City,86.5,210,2026-05-05,2026-05-06T00:00:00-04:00,72.5,ok,0,,,ok,V* RW CVn,AB*,0.046,ok,1483751397919962368,3.854,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5032,"max altitude 86.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.52 mag; bright enough for Jersey City (8.27); long-period cadence friendly (100.00 d); well away from Galactic plane (b=72.5 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=10.00 suggests blended/contaminated PSF"
27,92.0,92.0,VX Leo,LB,169.39932,26.99569,10.960,0.970,True,0.970,96.42882500,Jersey City,Jersey City,76.2,210,2026-05-04,2026-05-04T21:30:00-04:00,69.1,ok,0,,,ok,V* VX Leo,LP*,0.668,ok,3997816582012381056,3.040,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17073,"max altitude 76.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.97 mag; bright enough for Jersey City (10.96); long-period cadence friendly (96.43 d); well away from Galactic plane (b=69.1 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=7.00 suggests blended/contaminated PSF"
28,91.8,91.8,BX Dra,EW,241.57237,62.76281,10.630,0.540,True,0.540,0.57902455,Jersey City,Jersey City,66.8,210,2026-05-17,2026-05-18T00:30:00-04:00,42.4,ok,0,,,,,,,ok,1629262759606566656,0.454,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13773,"max altitude 66.8 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.54 mag; bright enough for Jersey City (10.63); time-series candidate (0.5790 d); well away from Galactic plane (b=42.4 deg); sparse AAVSO coverage (0 recent observations)"
29,90.5,90.5,CF Leo,RRAB,176.63577,16.23124,11.965,12.438,False,0.473,0.73889450,Jersey City,Jersey City,65.5,210,2026-05-08,2026-05-08T21:30:00-04:00,71.4,ok,0,,,,,,,ok,3924834680948056576,0.632,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17138,"max altitude 65.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.47 mag; bright enough for Jersey City (11.96); time-series candidate (0.7389 d); well away from Galactic plane (b=71.4 deg); sparse AAVSO coverage (0 recent observations)"
30,90.2,90.2,DL Boo,LB,206.98900,18.94439,7.584,0.220,True,0.220,79.10000000,Jersey City,Jersey City,68.2,210,2026-05-17,2026-05-17T23:00:00-04:00,74.7,ok,0,,,,,,,ok,1248126124807870848,2.109,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4437,"max altitude 68.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.22 mag; bright enough for Jersey City (7.58); long-period cadence friendly (79.10 d); well away from Galactic plane (b=74.7 deg); sparse AAVSO coverage (0 recent observations)"
